time_step,load,rpm,voltage,current,temperature,vibration,pressure,power,efficiency,health_index,fault_label
0,0.6091415123926329,1431.430562009214,47.40116944547118,11.993735031685752,40.984757487946105,0.20323365553217868,5.4941379582101275,568.51706652102,0.8847595504954548,86.01517410212307,normal
1,0.5737999559957275,1451.6018116622522,47.78559073894289,12.290282716150568,40.770880568741006,0.1951290471596611,5.460442030184099,587.2984199398745,0.9027758623876109,87.16383772646726,normal
2,0.6325093697283294,1465.292414340153,47.563451767271246,11.311225130164523,41.390382018639684,0.21846544194962586,5.485091722379774,538.0009109073267,0.8841969472241987,87.03107704734491,normal
3,0.6432028829462848,1461.3732836398012,47.30979734945845,12.373330207901738,42.38186981394964,0.21446662395874966,5.4551283129156,585.3797446737638,0.8937836397576312,85.64445948910968,normal
4,0.5614356276697504,1464.4448802740458,47.3326984701922,11.398165367588431,39.76965428092045,0.13636603923113133,5.349720360642643,539.5059244574506,0.893223425340063,88.29516179152117,normal
5,0.585869561471176,1466.8575678518455,47.11734520516878,11.803607657384335,39.524637359958895,0.20923395863095048,5.343243091782613,556.1546566593513,0.8975200193958631,87.41962776331638,normal
6,0.6337228385897384,1467.1414321178863,47.56320293852402,11.233121287364542,43.03863309052368,0.18237969844672208,5.544796761097037,534.2832274239739,0.8886627014707217,87.12365187484504,normal
7,0.6253343497484117,1469.9432854179365,47.408166534139056,12.274592034171448,40.83069329122495,0.17363554262546108,5.496583107162516,581.9159032946167,0.8712235786143346,87.63382470738895,normal
8,0.6392298314338836,1520.8340939183643,46.892231139409155,12.12066819185301,41.11810556739283,0.19970419770673897,5.3893276530854,568.3651744164558,0.8971256097923703,88.18837410233917,normal
9,0.6190299545991417,1497.213177692863,47.367094190521996,11.71182059823869,41.16495907805357,0.2103690078729686,5.433505007592179,554.7549094192677,0.8870457347635623,85.4503015313071,normal
10,,1505.9625684053663,47.22988116602401,12.29347625261659,42.3026768831618,0.17417342553138113,5.445758590901096,580.6194225284197,0.8928509816832625,83.63331254232071,normal
11,0.677643145454091,1489.565122149809,47.84721772571609,11.811696985249666,41.979972823449074,0.2215139891517902,5.380423620590762,565.1568373634252,0.8916441607069934,86.3083734378479,normal
